response_id,lockdown_period,subscale,item,score
R_w7AV8G1eEuySSVr,before,stress,1,1
R_w7AV8G1eEuySSVr,before,anxiety,2,0
R_w7AV8G1eEuySSVr,before,depression,3,0
R_w7AV8G1eEuySSVr,before,anxiety,4,0
R_w7AV8G1eEuySSVr,before,depression,5,2
R_w7AV8G1eEuySSVr,before,stress,6,1
R_w7AV8G1eEuySSVr,before,anxiety,7,0
R_w7AV8G1eEuySSVr,before,stress,8,0
R_w7AV8G1eEuySSVr,before,anxiety,9,1
R_w7AV8G1eEuySSVr,before,depression,10,0
R_w7AV8G1eEuySSVr,before,stress,11,1
R_w7AV8G1eEuySSVr,before,stress,12,1
R_w7AV8G1eEuySSVr,before,depression,13,2
R_w7AV8G1eEuySSVr,before,stress,14,0
R_w7AV8G1eEuySSVr,before,anxiety,15,0
R_w7AV8G1eEuySSVr,before,depression,16,1
R_w7AV8G1eEuySSVr,before,depression,17,2
R_w7AV8G1eEuySSVr,before,stress,18,2
R_w7AV8G1eEuySSVr,before,anxiety,19,0
R_w7AV8G1eEuySSVr,before,anxiety,20,0
R_w7AV8G1eEuySSVr,before,depression,21,0
R_w7AV8G1eEuySSVr,after,stress,1,1
R_w7AV8G1eEuySSVr,after,anxiety,2,0
R_w7AV8G1eEuySSVr,after,depression,3,0
R_w7AV8G1eEuySSVr,after,anxiety,4,0
R_w7AV8G1eEuySSVr,after,depression,5,2
R_w7AV8G1eEuySSVr,after,stress,6,2
R_w7AV8G1eEuySSVr,after,anxiety,7,0
R_w7AV8G1eEuySSVr,after,stress,8,0
R_w7AV8G1eEuySSVr,after,anxiety,9,1
R_w7AV8G1eEuySSVr,after,depression,10,2
R_w7AV8G1eEuySSVr,after,stress,11,2
R_w7AV8G1eEuySSVr,after,stress,12,2
R_w7AV8G1eEuySSVr,after,depression,13,2
R_w7AV8G1eEuySSVr,after,stress,14,1
R_w7AV8G1eEuySSVr,after,anxiety,15,0
R_w7AV8G1eEuySSVr,after,depression,16,2
R_w7AV8G1eEuySSVr,after,depression,17,2
