response_id,lockdown_period,regularly_play,total_hours_played
R_w7AV8G1eEuySSVr,before,yes,35
R_w7AV8G1eEuySSVr,after,yes,35
R_3g11OuFlZDreUWH,before,yes,19
R_3g11OuFlZDreUWH,after,yes,41
R_ZIyPy9Dq6G7mGIx,before,yes,22
R_ZIyPy9Dq6G7mGIx,after,yes,35
R_Rfb8RkRh6RRJLTr,before,no,0
R_Rfb8RkRh6RRJLTr,after,yes,7
R_3EbuYRY1KfEPCX3,before,yes,5
R_3EbuYRY1KfEPCX3,after,yes,4
R_3fW7nwlGuhwYbo5,before,yes,35
R_3fW7nwlGuhwYbo5,after,yes,31
R_vlag3f3fIWmaxeV,before,yes,4
R_vlag3f3fIWmaxeV,after,yes,21
R_9Y4ZP3qLoi3t7fH,before,yes,29
R_9Y4ZP3qLoi3t7fH,after,yes,18
R_5AVWI45K9Om73Gh,before,yes,48
R_5AVWI45K9Om73Gh,after,yes,58
R_0xNlcN3NDWsWFsl,before,no,0
R_0xNlcN3NDWsWFsl,after,yes,20
R_2ZNqbe16jkaSqDs,before,yes,39
R_2ZNqbe16jkaSqDs,after,yes,52
R_1jwyyqW3BkMXKqC,before,yes,21
R_1jwyyqW3BkMXKqC,after,yes,36
R_3Dhl5RDE5WPkhjZ,before,no,0
R_3Dhl5RDE5WPkhjZ,after,no,0
R_82Cae0gGCtZlvZD,before,yes,70
R_82Cae0gGCtZlvZD,after,yes,68
R_0Iq1QihJbkIZGG5,before,yes,35
R_0Iq1QihJbkIZGG5,after,yes,31
R_XYYWZaTga3BEXdL,before,yes,21
R_XYYWZaTga3BEXdL,after,yes,17
R_31BhgcJAtt4udIx,before,yes,36
R_31BhgcJAtt4udIx,after,yes,47
R_O22BvtbesSiM9H3,before,yes,22
R_O22BvtbesSiM9H3,after,yes,16
R_22Q9Iw4NYMriVYz,before,yes,9
R_22Q9Iw4NYMriVYz,after,yes,14
R_V213xJcCci8mpHj,before,yes,52
R_V213xJcCci8mpHj,after,yes,74
R_3QM1yoXPn1WIPIp,before,no,0
R_3QM1yoXPn1WIPIp,after,no,0
R_O9VAqYUDUshWv73,before,no,0
R_O9VAqYUDUshWv73,after,no,0
R_2ANDY1UL9QHh0bt,before,yes,40
R_2ANDY1UL9QHh0bt,after,yes,42
R_3PNeMMqpSuzFgK6,before,yes,5
R_3PNeMMqpSuzFgK6,after,yes,7
R_2fjoBMWdN1ICH1c,before,no,0
R_2fjoBMWdN1ICH1c,after,no,0
R_p59dkfQNljmhosh,before,no,0
R_p59dkfQNljmhosh,after,no,0
R_6nxz0eKfNc1cdKF,before,yes,0
R_6nxz0eKfNc1cdKF,after,yes,19
R_1Ghi9cuDLyS5Fvj,before,yes,18
R_1Ghi9cuDLyS5Fvj,after,yes,23
R_2ri38po4P4fnJtK,before,yes,26
R_2ri38po4P4fnJtK,after,yes,40
R_zSuKsNMuq2O2oA9,before,yes,64
R_zSuKsNMuq2O2oA9,after,yes,64
R_2Y3vSpPmQtCUg27,before,yes,42
R_2Y3vSpPmQtCUg27,after,yes,34
R_cTMYr4InmqWqxyx,before,no,0
R_cTMYr4InmqWqxyx,after,no,0
R_Ub92pGLz1xv4fbr,before,yes,23
R_Ub92pGLz1xv4fbr,after,yes,36
R_2WUWSPXQGpkoYiQ,before,yes,57
R_2WUWSPXQGpkoYiQ,after,yes,61
R_1GTWJReePx9Mt0Y,before,yes,50
R_1GTWJReePx9Mt0Y,after,yes,25
R_3HIxxqBts6Z0OZO,before,yes,62
R_3HIxxqBts6Z0OZO,after,yes,70
R_2VsTI6YcrvQkU00,before,yes,52
R_2VsTI6YcrvQkU00,after,yes,79
R_bl5z1a8F19q4rol,before,yes,71
R_bl5z1a8F19q4rol,after,yes,71
R_2riPjmHJ1ujE2AI,before,yes,15
R_2riPjmHJ1ujE2AI,after,no,0
R_237akAEwp1ZNQtX,before,yes,61
R_237akAEwp1ZNQtX,after,yes,75
R_28YlGk4KWcNC1Hz,before,yes,87
R_28YlGk4KWcNC1Hz,after,yes,52
R_1l3QaBdaMZAzDNc,before,yes,9
R_1l3QaBdaMZAzDNc,after,yes,8
R_WkD2Xf1StVlY1k5,before,yes,19
R_WkD2Xf1StVlY1k5,after,yes,23
R_3e2GBC1tsXm5UH9,before,yes,44
R_3e2GBC1tsXm5UH9,after,yes,45
R_5A6WR2APgRZFueJ,before,yes,40
R_5A6WR2APgRZFueJ,after,yes,44
R_1OGOApUcrgQ9PDV,before,no,0
R_1OGOApUcrgQ9PDV,after,yes,87
R_AFO5tTqn4Q8XmqB,before,yes,20
R_AFO5tTqn4Q8XmqB,after,yes,15
R_3fiMnltHW0VY7HP,before,yes,34
R_3fiMnltHW0VY7HP,after,yes,31
R_2qpx286lR9fjVMC,before,yes,32
R_2qpx286lR9fjVMC,after,yes,30
R_2fy7OLb5SO3rVpk,before,yes,12
R_2fy7OLb5SO3rVpk,after,yes,15
R_31RjR49IX1YOJ7y,before,no,0
R_31RjR49IX1YOJ7y,after,yes,68
R_yl0OHDoTCu63b7b,before,yes,30
R_yl0OHDoTCu63b7b,after,yes,30
R_8vUJrorD6qPhNCh,before,yes,41
R_8vUJrorD6qPhNCh,after,yes,43
R_Wrr9h9YwjeBoNpf,before,yes,8
R_Wrr9h9YwjeBoNpf,after,yes,8
R_SDnvXDdPlMdrs9r,before,yes,34
R_SDnvXDdPlMdrs9r,after,yes,28
